graph_id,feature_idx,has_motif,loss_original,loss_patched,delta_loss,n_patched_nodes
2827,223,0,0.0002310079289600253,0.0002310079289600253,0.0,5
1908,223,0,0.012098222970962524,0.013447731733322144,0.0013495087623596191,5
2200,223,0,0.0002796605112962425,0.0002796605112962425,0.0,5
3426,223,0,0.006718490272760391,0.006718490272760391,0.0,5
944,223,0,0.015373844653367996,0.015373844653367996,0.0,5
1295,223,0,0.0013011344708502293,0.0013379064621403813,3.677199129015207e-05,5
433,223,0,0.022361399605870247,0.022361399605870247,0.0,5
3951,223,0,0.002488591242581606,0.002488591242581606,0.0,5
551,223,0,0.006834013387560844,0.006834013387560844,0.0,5
2794,223,0,6.248215504456311e-05,6.248215504456311e-05,0.0,5
1786,223,0,0.012899838387966156,0.012899838387966156,0.0,5
1852,223,0,0.00322444224730134,0.0033984791953116655,0.00017403694801032543,5
2601,223,0,0.010005136951804161,0.010005136951804161,0.0,5
2830,223,0,3.5812721762340516e-05,3.5812721762340516e-05,0.0,5
1822,223,0,0.013061725534498692,0.012631120160222054,-0.00043060537427663803,5
3306,223,0,0.003050473053008318,0.003050473053008318,0.0,5
249,223,0,0.002047420246526599,0.002047420246526599,0.0,5
3553,223,0,0.003486942034214735,0.003486942034214735,0.0,5
2217,223,0,0.012851649895310402,0.012851649895310402,0.0,5
3602,223,0,0.004154055844992399,0.004154055844992399,0.0,5
3989,223,0,0.0004801230679731816,0.0004801230679731816,0.0,5
1205,223,0,0.00632676063105464,0.00632676063105464,0.0,5
2712,223,0,1.5101801182026975e-05,1.5101801182026975e-05,0.0,5
3307,223,0,0.0092315049842,0.0092315049842,0.0,5
2899,223,0,0.0002982549194712192,0.0002982549194712192,0.0,5
2831,223,0,2.4469931304338388e-05,2.4469931304338388e-05,0.0,5
1451,223,0,0.005780490580946207,0.00681329146027565,0.001032800879329443,5
3009,223,0,0.0018336300272494555,0.0018336300272494555,0.0,5
588,223,0,0.00296778860501945,0.00296778860501945,0.0,5
1366,223,0,0.00010693543299566954,0.00010693543299566954,0.0,5
2374,223,0,2.1787700461572967e-05,2.1787700461572967e-05,0.0,5
3842,223,0,0.001888556289486587,0.001888556289486587,0.0,5
952,223,0,0.0002310993440914899,0.0002310993440914899,0.0,5
3552,223,0,0.004765144549310207,0.004765144549310207,0.0,5
3684,223,0,2.4042805307544768e-05,2.4042805307544768e-05,0.0,5
550,223,0,0.00028887923690490425,0.00028887923690490425,0.0,5
2055,223,0,8.938927931012586e-05,8.938927931012586e-05,0.0,5
3215,223,0,0.002570677548646927,0.002570677548646927,0.0,5
2762,223,0,0.00023955061624292284,0.00023955061624292284,0.0,5
136,223,0,0.0035295940469950438,0.0035295940469950438,0.0,5
1132,223,0,0.0028555216267704964,0.004183988552540541,0.0013284669257700443,5
649,223,0,0.0020676765125244856,0.0020676765125244856,0.0,5
3397,223,0,0.003924269694834948,0.003924269694834948,0.0,5
827,223,0,0.0013946436811238527,0.0013946436811238527,0.0,5
3776,223,0,0.003691371064633131,0.003691371064633131,0.0,5
2201,223,0,0.0005233424017205834,0.0005233424017205834,0.0,5
2615,223,0,0.0030061875004321337,0.0030061875004321337,0.0,5
3033,223,0,0.0027056504040956497,0.0027056504040956497,0.0,5
1819,223,0,0.007088904734700918,0.007230651564896107,0.00014174683019518852,5
3395,223,0,0.005958555731922388,0.005958555731922388,0.0,5
776,223,0,0.007619443815201521,0.007619443815201521,0.0,5
1296,223,0,0.004756308160722256,0.004097760654985905,-0.000658547505736351,5
706,223,0,0.0031063854694366455,0.0031063854694366455,0.0,5
664,223,0,0.002416966948658228,0.002416966948658228,0.0,5
918,223,0,5.4971846111584455e-05,5.4971846111584455e-05,0.0,5
2534,223,0,0.0022521347273141146,0.0022521347273141146,0.0,5
3043,223,0,0.004783851094543934,0.004783851094543934,0.0,5
2946,223,0,0.0002091186324832961,0.0002091186324832961,0.0,5
54,223,0,0.030903130769729614,0.030903130769729614,0.0,5
1035,223,0,0.005934361834079027,0.006088043097406626,0.00015368126332759857,5
3763,223,0,1.878568411939341e-08,1.878568411939341e-08,0.0,5
1206,223,0,0.0013279911363497376,0.00234607863239944,0.0010180874960497022,5
380,223,0,0.0026591618079692125,0.0026591618079692125,0.0,5
2523,223,0,0.001498000230640173,0.001498000230640173,0.0,5
1178,223,0,0.003429432399570942,0.003480383660644293,5.0951261073350906e-05,5
2306,223,0,0.0001401955378241837,0.0001401955378241837,0.0,5
761,223,0,0.00039152405224740505,0.00039152405224740505,0.0,5
3898,223,0,0.005703408736735582,0.005703408736735582,0.0,5
1611,223,0,0.019200507551431656,0.019354159012436867,0.00015365146100521088,5
135,223,0,0.017385520040988922,0.017385520040988922,0.0,5
1422,223,0,0.0023402683436870575,0.0033968386705964804,0.0010565703269094229,5
760,223,0,0.005551191512495279,0.005551191512495279,0.0,5
2307,223,0,0.0003298653755337,0.0003298653755337,0.0,5
672,223,0,0.019690202549099922,0.019690202549099922,0.0,5
2328,223,0,0.0012183398939669132,0.0012183398939669132,0.0,5
2380,223,0,2.3875922124716453e-05,2.3875922124716453e-05,0.0,5
3841,223,0,0.001035369117744267,0.001035369117744267,0.0,5
685,223,0,0.000220932750380598,0.000220932750380598,0.0,5
2144,223,0,0.00014677990111522377,0.00014677990111522377,0.0,5
381,223,0,0.001907799392938614,0.001907799392938614,0.0,5
3519,223,0,0.002523179166018963,0.002523179166018963,0.0,5
1210,223,0,0.00229636044241488,0.00229636044241488,0.0,5
2535,223,0,0.011004696600139141,0.011004696600139141,0.0,5
203,223,0,0.0006360826082527637,0.0006360826082527637,0.0,5
3313,223,0,0.0007726829499006271,0.0007726829499006271,0.0,5
2478,223,0,6.059062434360385e-05,6.059062434360385e-05,0.0,5
2781,223,0,0.0055089243687689304,0.0055089243687689304,0.0,5
1,223,0,0.004434346687048674,0.004434346687048674,0.0,5
2776,223,0,0.00660537788644433,0.00660537788644433,0.0,5
3295,223,0,0.0008115572854876518,0.0008115572854876518,0.0,5
