,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.12845196468600245,0
node_1,0,0,1,0,3,0,3,0.0,0.0,0.3333333333333333,0.0,0.08547009560580142,0
node_2,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.04033839593468069,0
node_3,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.1602694481677141,0
node_4,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.1993717900103375,0
node_5,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.4797946496632871,0
node_6,0,0,1,0,3,0,3,0.0,0.0,0.3333333333333333,0.0,0.08547009560580142,0
node_7,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,-0.3501066308852274,0
node_8,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.08547009560580142,0
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.08547009560580142,0
