,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.17349038421796203,0.5
node_1,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.07379822219467283,0.5
node_2,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06475773762050399,0.5
node_3,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.04919032599836219,0.5
node_4,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1771818664106427,0.5
node_5,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06475773762050399,0.5
node_6,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.16995717052443454,0.5
node_7,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.06475773762050399,0.5
node_8,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.09735108017191006,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.06475773762050399,0.0
