,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.0979392966138937,0
node_1,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.11137196122799603,0
node_2,0,0,1,0,3,0,3,0.0,0.0,0.3333333333333333,0.0,0.085470025848227,0
node_3,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.11974869046165625,0
node_4,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.09156289107351984,0
node_5,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.14858813029747797,0
node_6,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.14435307264990097,0
node_7,0,0,1,0,1,1,0,,0.0,0.0,0.1111111111111111,0.03002588013087422,0
node_8,0,0,1,0,4,0,4,0.0,0.0,0.4444444444444444,0.0,0.085470025848227,0
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.085470025848227,0
