,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.10589304803470423,0.5
node_1,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.060851033753710024,0.5
node_2,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1575423721102939,0.5
node_3,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.08485598265958065,0.5
node_4,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.16069802548352718,0.5
node_5,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.060851033753710024,0.5
node_6,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.060851033753710024,0.5
node_7,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.0872706171225958,0.5
node_8,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.16033581957445828,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.060851033753710024,0.0
